# wavelength 	 flux_density
8.637690000000000055e+02 9.409440000000000000e+15
8.640000000000000000e+02 9.510870000000000000e+15
8.642319999999999709e+02 9.553710000000000000e+15
8.644640000000000555e+02 9.497550000000000000e+15
8.646960000000000264e+02 9.499160000000002000e+15
8.649279999999999973e+02 9.338580000000000000e+15
8.651600000000000819e+02 9.214300000000000000e+15
8.653910000000000764e+02 9.265760000000000000e+15
8.656230000000000473e+02 9.238800000000000000e+15
8.658550000000000182e+02 9.028910000000000000e+15
8.660870000000001028e+02 8.445920000000001000e+15
8.663189999999999600e+02 6.838390000000001000e+15
8.665500000000000682e+02 6.294920000000001000e+15
8.667820000000000391e+02 7.535890000000000000e+15
8.670139999999998963e+02 8.703950000000000000e+15
8.672459999999999809e+02 9.018820000000000000e+15
8.674770000000000891e+02 9.017290000000000000e+15
8.677089999999999463e+02 8.872270000000000000e+15
8.679409999999999172e+02 9.029080000000000000e+15
8.681730000000000018e+02 9.167150000000000000e+15
8.684039999999999964e+02 9.124710000000000000e+15
8.686359999999999673e+02 9.260860000000000000e+15
8.688679999999999382e+02 9.062260000000000000e+15
8.691000000000000227e+02 8.576370000000000000e+15
8.693310000000000173e+02 8.811310000000000000e+15
8.695629999999999882e+02 9.187460000000000000e+15
8.697949999999999591e+02 9.301830000000002000e+15
8.700270000000000437e+02 9.158840000000000000e+15
8.702579999999999245e+02 9.042150000000000000e+15
8.704900000000000091e+02 9.107530000000000000e+15
8.707219999999999800e+02 9.195450000000000000e+15
8.709539999999999509e+02 9.233680000000000000e+15
8.711849999999999454e+02 9.067820000000000000e+15
8.714170000000000300e+02 8.914060000000000000e+15
8.716490000000000009e+02 9.054550000000000000e+15
8.718799999999999955e+02 9.176580000000000000e+15
8.721119999999999663e+02 9.248980000000000000e+15
8.723440000000000509e+02 9.407570000000000000e+15
8.725750000000000455e+02 9.411640000000000000e+15
8.728070000000000164e+02 9.339500000000000000e+15
8.730389999999999873e+02 9.140060000000000000e+15
8.732699999999999818e+02 9.140640000000000000e+15
8.735019999999999527e+02 9.278520000000000000e+15
8.737340000000000373e+02 9.059610000000000000e+15
8.739650000000000318e+02 9.045080000000000000e+15
8.741970000000000027e+02 9.161880000000000000e+15
8.744289999999999736e+02 9.092360000000000000e+15
8.746599999999999682e+02 9.117210000000000000e+15
8.748920000000000528e+02 9.192470000000000000e+15
8.751240000000000236e+02 9.116870000000002000e+15
8.753550000000000182e+02 8.992310000000001000e+15
8.755869999999999891e+02 9.032290000000000000e+15
8.758179999999999836e+02 9.122040000000000000e+15
8.760499999999999545e+02 9.105070000000000000e+15
8.762820000000000391e+02 9.227390000000000000e+15
8.765130000000000337e+02 9.122020000000000000e+15
8.767450000000000045e+02 9.021680000000000000e+15
8.769769999999999754e+02 9.105090000000000000e+15
8.772079999999999700e+02 9.162040000000000000e+15
8.774400000000000546e+02 8.998270000000001000e+15
8.776709999999999354e+02 8.943130000000000000e+15
8.779030000000000200e+02 9.178230000000000000e+15
8.781340000000000146e+02 9.253520000000002000e+15
8.783659999999999854e+02 9.265510000000000000e+15
8.785979999999999563e+02 9.270370000000000000e+15
8.788289999999999509e+02 9.253750000000000000e+15
8.790610000000000355e+02 9.197720000000000000e+15
8.792919999999999163e+02 8.980530000000000000e+15
8.795240000000000009e+02 8.840840000000001000e+15
8.797549999999999955e+02 8.925470000000001000e+15
8.799869999999999663e+02 9.079210000000000000e+15
8.802189999999999372e+02 9.187090000000000000e+15
8.804499999999999318e+02 9.144050000000000000e+15
8.806820000000000164e+02 8.590760000000001000e+15
8.809129999999998972e+02 7.975260000000000000e+15
8.811449999999999818e+02 8.333170000000000000e+15
8.813760000000000900e+02 8.997690000000001000e+15
8.816079999999999472e+02 9.167310000000000000e+15
8.818390000000000555e+02 9.205100000000000000e+15
8.820710000000000264e+02 9.198160000000000000e+15
8.823020000000000209e+02 9.122070000000000000e+15
8.825339999999999918e+02 8.832440000000001000e+15
8.827649999999999864e+02 8.762110000000001000e+15
8.829970000000000709e+02 9.069240000000000000e+15
8.832280000000000655e+02 9.233550000000000000e+15
8.834600000000000364e+02 9.262620000000000000e+15
8.836910000000000309e+02 9.175590000000000000e+15
8.839230000000000018e+02 9.000640000000000000e+15
8.841539999999999964e+02 8.955730000000001000e+15
8.843859999999999673e+02 9.059800000000000000e+15
8.846169999999999618e+02 9.144560000000000000e+15
8.848490000000000464e+02 9.071280000000000000e+15
8.850799999999999272e+02 9.147120000000000000e+15
8.853120000000000118e+02 9.197180000000000000e+15
8.855430000000000064e+02 9.198370000000000000e+15
8.857749999999999773e+02 9.184880000000000000e+15
8.860059999999999718e+02 9.189230000000000000e+15
8.862379999999999427e+02 9.042700000000000000e+15
8.864689999999999372e+02 8.847390000000000000e+15
8.867009999999999081e+02 8.735170000000000000e+15
8.869320000000000164e+02 8.675790000000000000e+15
8.871630000000000109e+02 8.800260000000000000e+15
8.873950000000000955e+02 9.093700000000000000e+15
8.876259999999999764e+02 9.156240000000000000e+15
8.878580000000000609e+02 8.991030000000000000e+15
8.880890000000000555e+02 8.952580000000001000e+15
8.883210000000000264e+02 9.018010000000000000e+15
8.885520000000000209e+02 9.126600000000000000e+15
8.887830000000000155e+02 9.132050000000000000e+15
8.890149999999999864e+02 9.172970000000000000e+15
8.892459999999999809e+02 9.123020000000000000e+15
8.894779999999999518e+02 9.009390000000000000e+15
8.897089999999999463e+02 9.009440000000000000e+15
8.899410000000000309e+02 9.119260000000000000e+15
8.901719999999999118e+02 9.100580000000000000e+15
8.904029999999999063e+02 9.105490000000000000e+15
8.906349999999999909e+02 9.067290000000000000e+15
8.908660000000000991e+02 9.035200000000000000e+15
8.910969999999999800e+02 9.042340000000000000e+15
8.913290000000000646e+02 8.983360000000000000e+15
8.915600000000000591e+02 8.921850000000001000e+15
8.917920000000000300e+02 8.940940000000000000e+15
8.920230000000000246e+02 8.934400000000000000e+15
8.922540000000000191e+02 8.914400000000000000e+15
8.924859999999999900e+02 8.843070000000001000e+15
8.927169999999999845e+02 8.734610000000000000e+15
8.929479999999999791e+02 8.691840000000001000e+15
8.931799999999999500e+02 8.726940000000001000e+15
8.934109999999999445e+02 8.794340000000000000e+15
8.936420000000000528e+02 8.898690000000001000e+15
8.938739999999999100e+02 9.015930000000000000e+15
8.941050000000000182e+02 8.999790000000001000e+15
8.943360000000000127e+02 8.858750000000001000e+15
8.945679999999999836e+02 8.679410000000001000e+15
8.947989999999999782e+02 8.535360000000001000e+15
8.950299999999999727e+02 8.602910000000000000e+15
8.952620000000000573e+02 8.805920000000000000e+15
8.954929999999999382e+02 8.942010000000001000e+15
8.957239999999999327e+02 8.941580000000001000e+15
8.959560000000000173e+02 8.960840000000000000e+15
8.961870000000000118e+02 8.954360000000001000e+15
8.964180000000000064e+02 8.930490000000001000e+15
8.966499999999999773e+02 8.867290000000000000e+15
8.968810000000000855e+02 8.748540000000000000e+15
8.971119999999999663e+02 8.786110000000000000e+15
8.973429999999999609e+02 8.938370000000000000e+15
8.975750000000000455e+02 8.893850000000001000e+15
8.978060000000000400e+02 8.755360000000000000e+15
8.980369999999999209e+02 8.772730000000000000e+15
8.982690000000000055e+02 8.896150000000000000e+15
8.985000000000000000e+02 8.951910000000001000e+15
8.987309999999999945e+02 8.891270000000001000e+15
8.989619999999999891e+02 8.887770000000000000e+15
8.991940000000000737e+02 8.907360000000001000e+15
8.994250000000000682e+02 8.915420000000001000e+15
8.996560000000000628e+02 8.949190000000001000e+15
8.998869999999999436e+02 8.859680000000000000e+15
9.001190000000000282e+02 8.648710000000000000e+15
9.003500000000000227e+02 8.649770000000001000e+15
9.005810000000000173e+02 8.904190000000000000e+15
9.008119999999998981e+02 8.876090000000001000e+15
9.010439999999999827e+02 8.582610000000000000e+15
9.012750000000000909e+02 8.303190000000000000e+15
9.015060000000000855e+02 8.290900000000001000e+15
9.017369999999999663e+02 8.426040000000000000e+15
9.019690000000000509e+02 8.507540000000000000e+15
9.022000000000000455e+02 8.580810000000000000e+15
9.024310000000000400e+02 8.548070000000001000e+15
9.026619999999999209e+02 8.586890000000000000e+15
9.028929999999999154e+02 8.705430000000000000e+15
9.031250000000000000e+02 8.858950000000000000e+15
9.033559999999999945e+02 8.887010000000001000e+15
9.035869999999999891e+02 8.934060000000000000e+15
9.038179999999999836e+02 8.914600000000001000e+15
9.040489999999999782e+02 8.885420000000001000e+15
9.042809999999999491e+02 8.953760000000001000e+15
9.045119999999999436e+02 8.938710000000000000e+15
9.047429999999999382e+02 8.960230000000001000e+15
9.049739999999999327e+02 8.903330000000000000e+15
9.052050000000000409e+02 8.831980000000000000e+15
9.054370000000000118e+02 8.841880000000000000e+15
9.056680000000000064e+02 8.881890000000000000e+15
9.058990000000000009e+02 8.883890000000000000e+15
9.061299999999999955e+02 8.809550000000000000e+15
9.063609999999999900e+02 8.554610000000001000e+15
9.065919999999999845e+02 8.483850000000001000e+15
9.068239999999999554e+02 8.689320000000000000e+15
9.070549999999999500e+02 8.729350000000000000e+15
9.072860000000000582e+02 8.769560000000000000e+15
9.075170000000000528e+02 8.800470000000001000e+15
9.077480000000000473e+02 8.777010000000001000e+15
9.079789999999999281e+02 8.599240000000000000e+15
9.082099999999999227e+02 8.344800000000001000e+15
9.084420000000000073e+02 8.458790000000001000e+15
9.086730000000000018e+02 8.641770000000000000e+15
9.089039999999999964e+02 8.410310000000001000e+15
9.091349999999999909e+02 8.051630000000000000e+15
9.093659999999999854e+02 8.136750000000001000e+15
9.095969999999999800e+02 8.369470000000000000e+15
9.098279999999999745e+02 8.437270000000000000e+15
9.100589999999999691e+02 8.472510000000001000e+15
9.102900000000000773e+02 8.474250000000001000e+15
9.105220000000000482e+02 8.518450000000000000e+15
9.107530000000000427e+02 8.556740000000001000e+15
9.109840000000000373e+02 8.493870000000001000e+15
9.112150000000000318e+02 8.439020000000001000e+15
9.114460000000000264e+02 8.389450000000000000e+15
9.116769999999999072e+02 8.339620000000000000e+15
9.119080000000000155e+02 8.270230000000001000e+15
9.121390000000000100e+02 8.233640000000000000e+15
9.123700000000000045e+02 8.444840000000000000e+15
9.126009999999999991e+02 8.629110000000000000e+15
9.128319999999999936e+02 8.605510000000000000e+15
9.130639999999999645e+02 8.591150000000001000e+15
9.132949999999999591e+02 8.547330000000000000e+15
9.135259999999999536e+02 8.605840000000001000e+15
9.137570000000000618e+02 8.591630000000000000e+15
